strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
080403060205,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080403060206,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500020403,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500020501,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500020505,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500020602,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030101,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030103,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030105,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030106,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030201,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030203,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030204,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030205,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030206,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030207,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030301,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030302,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030303,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030304,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030305,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030401,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030402,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030403,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030404,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030405,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030406,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030407,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030408,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030501,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030502,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030503,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030504,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030505,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080500030506,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080601000401,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080601000402,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080601000403,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080601000501,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020701,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020702,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020703,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020704,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020705,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020706,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020707,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602020905,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021001,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021002,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021003,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021004,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021005,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021101,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021103,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021105,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021106,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602021107,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030502,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030503,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030705,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030706,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030707,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030801,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030802,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602030803,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040101,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040102,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040103,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040104,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040105,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040201,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080602040202,mABBEl,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
